url,original_url,registrable_domain,source,source_category,binary_label,scam_category,original_label,source_record_id,submission_time,verification_time,target,collection_timestamp,submitted_url,normalized_url,live_status,behavioural_eligible,hybrid_eligible,status_code,final_url,content_type,downloaded_bytes,redirect_count,html_available,error_type,error_message,audit_timestamp
https://bdyt.shop/soFbneFy/,https://bdyt.shop/soFbneFy/,bdyt.shop,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515592,2026-09-01T22:56:31+00:00,2026-09-01T23:11:54+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://bdyt.shop/soFbneFy/,https://bdyt.shop/soFbneFy/,inaccessible,0,0,403.0,https://bdyt.shop/soFbneFy/,text/html,22,0,1,,,2026-09-04T07:22:56.814695+00:00
https://ymzk.shop/soFbneFy/,https://ymzk.shop/soFbneFy/,ymzk.shop,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515590,2026-09-01T22:56:26+00:00,2026-09-01T23:11:54+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://ymzk.shop/soFbneFy/,https://ymzk.shop/soFbneFy/,inaccessible,0,0,403.0,https://ymzk.shop/soFbneFy/,text/html,22,0,1,,,2026-09-04T07:24:16.011812+00:00
https://bdjr.shop/soFbneFy/,https://bdjr.shop/soFbneFy/,bdjr.shop,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515589,2026-09-01T22:56:23+00:00,2026-09-01T23:11:54+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://bdjr.shop/soFbneFy/,https://bdjr.shop/soFbneFy/,inaccessible,0,0,403.0,https://bdjr.shop/soFbneFy/,text/html,22,0,1,,,2026-09-04T07:24:19.716085+00:00
https://magnu.shop/soFbneFy/,https://magnu.shop/soFbneFy/,magnu.shop,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515582,2026-09-01T22:56:07+00:00,2026-09-01T23:02:27+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://magnu.shop/soFbneFy/,https://magnu.shop/soFbneFy/,inaccessible,0,0,403.0,https://magnu.shop/soFbneFy/,text/html,22,0,1,,,2026-09-04T07:24:22.320397+00:00
https://xsfh.shop/soFbneFy/,https://xsfh.shop/soFbneFy/,xsfh.shop,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515570,2026-09-01T22:55:51+00:00,2026-09-01T23:02:27+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://xsfh.shop/soFbneFy/,https://xsfh.shop/soFbneFy/,inaccessible,0,0,403.0,https://xsfh.shop/soFbneFy/,text/html,22,0,1,,,2026-09-04T07:24:26.062201+00:00
https://mgyk.shop/soFbneFy/,https://mgyk.shop/soFbneFy/,mgyk.shop,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515569,2026-09-01T22:55:48+00:00,2026-09-01T23:02:27+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://mgyk.shop/soFbneFy/,https://mgyk.shop/soFbneFy/,inaccessible,0,0,403.0,https://mgyk.shop/soFbneFy/,text/html,22,0,1,,,2026-09-04T07:24:30.575951+00:00
https://wycl.shop/soFbneFy/,https://wycl.shop/soFbneFy/,wycl.shop,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515567,2026-09-01T22:55:41+00:00,2026-09-01T23:02:27+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://wycl.shop/soFbneFy/,https://wycl.shop/soFbneFy/,inaccessible,0,0,403.0,https://wycl.shop/soFbneFy/,text/html,22,0,1,,,2026-09-04T07:24:34.268143+00:00
https://amitys.shop/soFbneFy/,https://amitys.shop/soFbneFy/,amitys.shop,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515565,2026-09-01T22:55:34+00:00,2026-09-01T23:02:27+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://amitys.shop/soFbneFy/,https://amitys.shop/soFbneFy/,inaccessible,0,0,403.0,https://amitys.shop/soFbneFy/,text/html,22,0,1,,,2026-09-04T07:24:37.009491+00:00
https://lczswzi.com/ncr/vvyihnqu/uilbqd/swpb/vmaoom/woykr/bpkhqq/alg,https://lczswzi.com/ncr/vvyihnqu/uilbqd/swpb/vmaoom/woykr/bpkhqq/alg,lczswzi.com,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515542,2026-09-01T22:25:38+00:00,2026-09-01T22:31:51+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://lczswzi.com/ncr/vvyihnqu/uilbqd/swpb/vmaoom/woykr/bpkhqq/alg,https://lczswzi.com/ncr/vvyihnqu/uilbqd/swpb/vmaoom/woykr/bpkhqq/alg,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:24:40.820377+00:00
https://taxasnovasreduzidas.sbs/?qwuN8ju6DUOYv4J,https://taxasnovasreduzidas.sbs/?qwuN8ju6DUOYv4J,taxasnovasreduzidas.sbs,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515528,2026-09-01T22:07:38+00:00,2026-09-01T22:11:59+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://taxasnovasreduzidas.sbs/?qwuN8ju6DUOYv4J,https://taxasnovasreduzidas.sbs/?qwuN8ju6DUOYv4J,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:24:42.054845+00:00
http://allegrolokalnie.pl-oferta739167821.shop,http://allegrolokalnie.pl-oferta739167821.shop,pl-oferta739167821.shop,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515460,2026-09-01T21:28:38+00:00,2026-09-01T21:32:10+00:00,Allegro,2026-09-04T07:17:35.831504+00:00,http://allegrolokalnie.pl-oferta739167821.shop,http://allegrolokalnie.pl-oferta739167821.shop/,non_html,0,0,404.0,http://allegrolokalnie.pl-oferta739167821.shop/,text/plain,0,0,0,unsupported_content_type,Response is not an allowed HTML content type.,2026-09-04T07:24:44.052111+00:00
https://app.bisabancobo.com/,https://app.bisabancobo.com/,bisabancobo.com,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515434,2026-09-01T21:08:11+00:00,2026-09-01T21:11:49+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://app.bisabancobo.com/,https://app.bisabancobo.com/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:24:51.931528+00:00
http://allegrolokalnie.8019247.lol/oferta/sony-ps5-slim-disc-edition-cfi-2116--kontroler,http://allegrolokalnie.8019247.lol/oferta/sony-ps5-slim-disc-edition-cfi-2116--kontroler,8019247.lol,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515407,2026-09-01T20:26:37+00:00,2026-09-01T20:32:02+00:00,Allegro,2026-09-04T07:17:35.831504+00:00,http://allegrolokalnie.8019247.lol/oferta/sony-ps5-slim-disc-edition-cfi-2116--kontroler,http://allegrolokalnie.8019247.lol/oferta/sony-ps5-slim-disc-edition-cfi-2116--kontroler,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:24:53.151826+00:00
https://allegrolokalnie.pln385.lol/myjka-ci%C5%9Bnieniowa-karcher-k7/63379,https://allegrolokalnie.pln385.lol/myjka-ci%C5%9Bnieniowa-karcher-k7/63379,pln385.lol,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515372,2026-09-01T19:47:18+00:00,2026-09-01T20:02:41+00:00,Allegro,2026-09-04T07:17:35.831504+00:00,https://allegrolokalnie.pln385.lol/myjka-ci%C5%9Bnieniowa-karcher-k7/63379,https://allegrolokalnie.pln385.lol/myjka-ci%C5%9Bnieniowa-karcher-k7/63379,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:24:55.116839+00:00
https://allegrolokalnie.rezerwacja5274.click/xbox-series-x-1tb-i-5-pad%C3%B3w-i-/87977,https://allegrolokalnie.rezerwacja5274.click/xbox-series-x-1tb-i-5-pad%C3%B3w-i-/87977,rezerwacja5274.click,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515315,2026-09-01T19:35:42+00:00,2026-09-01T19:42:00+00:00,Allegro,2026-09-04T07:17:35.831504+00:00,https://allegrolokalnie.rezerwacja5274.click/xbox-series-x-1tb-i-5-pad%C3%B3w-i-/87977,https://allegrolokalnie.rezerwacja5274.click/xbox-series-x-1tb-i-5-pad%C3%B3w-i-/87977,inaccessible,0,0,,https://allegrolokalnie.rezerwacja5274.click/xbox-series-x-1tb-i-5-pad%C3%B3w-i-/87977,,0,0,0,connection_error,[WinError 10061] No connection could be made because the target machine actively refused it,2026-09-04T07:24:56.339236+00:00
https://irsgovidmec7941f4d73b81490ed15f9438d3a5160.orofly.com.br/id?c7941f4d,https://irsgovidmec7941f4d73b81490ed15f9438d3a5160.orofly.com.br/id?c7941f4d,orofly.com.br,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9514990,2026-09-01T12:21:03+00:00,2026-09-01T19:42:00+00:00,Internal Revenue Service,2026-09-04T07:17:35.831504+00:00,https://irsgovidmec7941f4d73b81490ed15f9438d3a5160.orofly.com.br/id?c7941f4d,https://irsgovidmec7941f4d73b81490ed15f9438d3a5160.orofly.com.br/id?c7941f4d,accessible,1,1,200.0,https://www.irs.gov/,text/html,136095,3,1,,,2026-09-04T07:25:01.670800+00:00
https://allegrolokalnie.pl59133.top/oferta/id-mf2rurofq-Zaciskarka-Rothenberger-Romax-4000,https://allegrolokalnie.pl59133.top/oferta/id-mf2rurofq-Zaciskarka-Rothenberger-Romax-4000,pl59133.top,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515292,2026-09-01T19:15:00+00:00,2026-09-01T19:21:59+00:00,Allegro,2026-09-04T07:17:35.831504+00:00,https://allegrolokalnie.pl59133.top/oferta/id-mf2rurofq-Zaciskarka-Rothenberger-Romax-4000,https://allegrolokalnie.pl59133.top/oferta/id-mf2rurofq-Zaciskarka-Rothenberger-Romax-4000,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:25:18.704036+00:00
http://allegro.platnosc402199421.xyz,http://allegro.platnosc402199421.xyz,platnosc402199421.xyz,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515288,2026-09-01T19:11:51+00:00,2026-09-01T19:21:59+00:00,Allegro,2026-09-04T07:17:35.831504+00:00,http://allegro.platnosc402199421.xyz,http://allegro.platnosc402199421.xyz/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:25:19.912639+00:00
https://allegrolokalnie.lokalna-0904921.sbs,https://allegrolokalnie.lokalna-0904921.sbs,lokalna-0904921.sbs,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515284,2026-09-01T18:56:15+00:00,2026-09-01T19:11:53+00:00,Allegro,2026-09-04T07:17:35.831504+00:00,https://allegrolokalnie.lokalna-0904921.sbs,https://allegrolokalnie.lokalna-0904921.sbs/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:25:21.213313+00:00
https://netempresabia.help/,https://netempresabia.help/,netempresabia.help,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515281,2026-09-01T18:51:07+00:00,2026-09-01T19:11:53+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://netempresabia.help/,https://netempresabia.help/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:25:22.449853+00:00
https://acessopjbra.online/,https://acessopjbra.online/,acessopjbra.online,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515280,2026-09-01T18:50:08+00:00,2026-09-01T19:11:53+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://acessopjbra.online/,https://acessopjbra.online/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:25:23.696544+00:00
https://asendergroup.com/,https://asendergroup.com/,asendergroup.com,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515270,2026-09-01T18:33:37+00:00,2026-09-01T19:02:35+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://asendergroup.com/,https://asendergroup.com/,timeout,0,0,,https://asendergroup.com/,,0,0,0,timeout,timed out,2026-09-04T07:25:24.884429+00:00
http://allegrolokalnie.directshop.club,http://allegrolokalnie.directshop.club,directshop.club,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515251,2026-09-01T18:25:10+00:00,2026-09-01T18:31:55+00:00,Allegro,2026-09-04T07:17:35.831504+00:00,http://allegrolokalnie.directshop.club,http://allegrolokalnie.directshop.club/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:25:31.394120+00:00
http://allegrolokalnie.plkupteraz732185943781.click,http://allegrolokalnie.plkupteraz732185943781.click,plkupteraz732185943781.click,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515243,2026-09-01T18:11:06+00:00,2026-09-01T18:22:02+00:00,Allegro,2026-09-04T07:17:35.831504+00:00,http://allegrolokalnie.plkupteraz732185943781.click,http://allegrolokalnie.plkupteraz732185943781.click/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:25:32.692833+00:00
https://bradesco.sincronizacaopjonline.digital,https://bradesco.sincronizacaopjonline.digital,sincronizacaopjonline.digital,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515236,2026-09-01T18:00:13+00:00,2026-09-01T18:11:57+00:00,Bradesco,2026-09-04T07:17:35.831504+00:00,https://bradesco.sincronizacaopjonline.digital,https://bradesco.sincronizacaopjonline.digital/,timeout,0,0,,https://bradesco.sincronizacaopjonline.digital/,,0,0,0,timeout,_ssl.c:985: The handshake operation timed out,2026-09-04T07:25:34.891074+00:00
https://allegrolokalnie.pl-x37yq.sbs/oferta/super-stan-tablet-apple-ipad-11-a16-128gb-srebrny-gwarancja-apple-pencil-e-4pllw,https://allegrolokalnie.pl-x37yq.sbs/oferta/super-stan-tablet-apple-ipad-11-a16-128gb-srebrny-gwarancja-apple-pencil-e-4pllw,pl-x37yq.sbs,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515184,2026-09-01T16:56:50+00:00,2026-09-01T17:02:24+00:00,Allegro,2026-09-04T07:17:35.831504+00:00,https://allegrolokalnie.pl-x37yq.sbs/oferta/super-stan-tablet-apple-ipad-11-a16-128gb-srebrny-gwarancja-apple-pencil-e-4pllw,https://allegrolokalnie.pl-x37yq.sbs/oferta/super-stan-tablet-apple-ipad-11-a16-128gb-srebrny-gwarancja-apple-pencil-e-4pllw,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:25:41.809089+00:00
http://diagnostico.huana.mx/,http://diagnostico.huana.mx/,huana.mx,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515045,2026-09-01T13:31:49+00:00,2026-09-01T15:42:11+00:00,Other,2026-09-04T07:17:35.831504+00:00,http://diagnostico.huana.mx/,http://diagnostico.huana.mx/,dns_failure,0,0,,,,0,0,0,dns_failure,[Errno 11001] getaddrinfo failed,2026-09-04T07:25:44.973262+00:00
https://mywkj168.com/uid_8192201297?ticket=mAurNXmMYR,https://mywkj168.com/uid_8192201297?ticket=mAurNXmMYR,mywkj168.com,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515138,2026-09-01T15:26:57+00:00,2026-09-01T15:32:03+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://mywkj168.com/uid_8192201297?ticket=mAurNXmMYR,https://mywkj168.com/uid_8192201297?ticket=mAurNXmMYR,redirect_failure,0,0,302.0,https://mywkj168.com/uid_8192201297?ticket=mAurNXmMYR,,0,0,0,unsafe_redirect,Hostname could not be resolved.,2026-09-04T07:25:46.553460+00:00
https://konyatabelareklam.com/disog,https://konyatabelareklam.com/disog,konyatabelareklam.com,phishtank_fresh_2026_09_04,phishing,1,phishing,yes,9515137,2026-09-01T15:25:06+00:00,2026-09-01T15:32:03+00:00,Other,2026-09-04T07:17:35.831504+00:00,https://konyatabelareklam.com/disog,https://konyatabelareklam.com/disog,accessible,1,1,200.0,https://konyatabelareklam.com/disog,text/html,4494,0,1,,,2026-09-04T07:25:51.138202+00:00
